100000	0,014	0,018	9,32
110000	0,015	0,02	11,336
120000	0,016	0,022	13,44
130000	0,018	0,026	15,85
140000	0,019	0,026	18,086
150000	0,019	0,03	20,745
160000	0,021	0,031	23,645
170000	0,023	0,032	26,627
180000	0,025	0,034	30,061
190000	0,025	0,036	33,403
200000	0,027	0,038	37,192




100000	0,006	11,93	0,001
110000	0,006	14,428	0,001
120000	0,006	17,15	0,001
130000	0,006	20,323	0,001
140000	0,007	23,479	0,001
150000	0,008	26,928	0,001
160000	0,008	30,618	0,001
170000	0,009	34,57	0,001
180000	0,01	38,733	0,001
190000	0,01	43,556	0,001
200000	0,01	47,737	0,001
